Game ID,Wk,Day,Date,Time,Home,xG Home,G Home,Away,xG Away,G Away,Score,Home Avg Players Score,Away Avg Players Score,Prev_Rk_Home,Prev_MP_Home,Prev_W_Home,Prev_D_Home,Prev_L_Home,Prev_GF_Home,Prev_GA_Home,Prev_Pts_Home,Prev_Pts/MP_Home,Prev_Rk_Away,Prev_MP_Away,Prev_W_Away,Prev_D_Away,Prev_L_Away,Prev_GF_Away,Prev_GA_Away,Prev_Pts_Away,Prev_Pts/MP_Away
0,1,Fri,09/08/2019,20:00,Liverpool,1.8,4,Norwich City,0.9,1,1,84.21,73.07,2.0,38.0,30.0,7.0,1.0,89.0,22.0,97.0,2.55,,,,,,,,,
1,1,Sat,10/08/2019,12:30,West Ham,1.1,0,Manchester City,3.2,5,-1,77.29,84.86,10.0,38.0,15.0,7.0,16.0,52.0,55.0,52.0,1.37,1.0,38.0,32.0,2.0,4.0,95.0,23.0,98.0,2.58
2,1,Sat,10/08/2019,15:00,Burnley,0.9,3,Southampton,1.2,0,1,75.69,75.5,15.0,38.0,11.0,7.0,20.0,45.0,68.0,40.0,1.05,16.0,38.0,9.0,12.0,17.0,45.0,65.0,39.0,1.03
3,1,Sat,10/08/2019,15:00,Watford,0.7,0,Brighton,0.8,3,-1,74.85,77.36,11.0,38.0,14.0,8.0,16.0,52.0,59.0,50.0,1.32,17.0,38.0,9.0,9.0,20.0,35.0,60.0,36.0,0.95
4,1,Sat,10/08/2019,15:00,Crystal Palace,0.9,0,Everton,1.1,0,0,76.31,79.43,12.0,38.0,14.0,7.0,17.0,51.0,53.0,49.0,1.29,8.0,38.0,15.0,9.0,14.0,54.0,46.0,54.0,1.42
5,1,Sat,10/08/2019,15:00,Bournemouth,1.3,1,Sheffield Utd,1.3,1,0,76.42,74.36,14.0,38.0,13.0,6.0,19.0,56.0,70.0,45.0,1.18,,,,,,,,,
6,1,Sat,10/08/2019,17:30,Tottenham,2.4,3,Aston Villa,0.7,1,1,78.5,73.93,4.0,38.0,23.0,2.0,13.0,67.0,39.0,71.0,1.87,,,,,,,,,
7,1,Sun,11/08/2019,14:00,Newcastle Utd,0.4,0,Arsenal,1.1,1,-1,77.15,78.07,13.0,38.0,12.0,9.0,17.0,42.0,48.0,45.0,1.18,5.0,38.0,21.0,7.0,10.0,73.0,51.0,70.0,1.84
8,1,Sun,11/08/2019,14:00,Leicester City,0.7,0,Wolves,0.7,0,0,80.54,78.23,9.0,38.0,15.0,7.0,16.0,51.0,48.0,52.0,1.37,7.0,38.0,16.0,9.0,13.0,47.0,46.0,57.0,1.5
9,1,Sun,11/08/2019,16:30,Manchester Utd,2.2,4,Chelsea,1.0,0,1,80.86,80.64,6.0,38.0,19.0,9.0,10.0,65.0,54.0,66.0,1.74,3.0,38.0,21.0,9.0,8.0,63.0,39.0,72.0,1.89
11,2,Sat,17/08/2019,12:30,Arsenal,0.8,2,Burnley,1.5,1,1,72.86,76.08,5.0,38.0,21.0,7.0,10.0,73.0,51.0,70.0,1.84,15.0,38.0,11.0,7.0,20.0,45.0,68.0,40.0,1.05
12,2,Sat,17/08/2019,15:00,Norwich City,1.7,3,Newcastle Utd,0.9,1,1,73.62,76.08,,,,,,,,,,13.0,38.0,12.0,9.0,17.0,42.0,48.0,45.0,1.18
13,2,Sat,17/08/2019,15:00,Aston Villa,2.0,1,Bournemouth,1.6,2,-1,76.79,75.86,,,,,,,,,,14.0,38.0,13.0,6.0,19.0,56.0,70.0,45.0,1.18
14,2,Sat,17/08/2019,15:00,Brighton,2.0,1,West Ham,0.8,1,0,75.93,82.64,17.0,38.0,9.0,9.0,20.0,35.0,60.0,36.0,0.95,10.0,38.0,15.0,7.0,16.0,52.0,55.0,52.0,1.37
15,2,Sat,17/08/2019,15:00,Southampton,1.9,1,Liverpool,1.3,2,-1,79.57,75.14,16.0,38.0,9.0,12.0,17.0,45.0,65.0,39.0,1.03,2.0,38.0,30.0,7.0,1.0,89.0,22.0,97.0,2.55
16,2,Sat,17/08/2019,15:00,Everton,0.7,1,Watford,1.2,0,1,85.5,79.36,8.0,38.0,15.0,9.0,14.0,54.0,46.0,54.0,1.42,11.0,38.0,14.0,8.0,16.0,52.0,59.0,50.0,1.32
17,2,Sat,17/08/2019,17:30,Manchester City,2.9,2,Tottenham,0.1,2,0,74.43,76.07,1.0,38.0,32.0,2.0,4.0,95.0,23.0,98.0,2.58,4.0,38.0,23.0,2.0,13.0,67.0,39.0,71.0,1.87
18,2,Sun,18/08/2019,14:00,Sheffield Utd,2.2,1,Crystal Palace,0.3,0,1,80.86,79.85,,,,,,,,,,12.0,38.0,14.0,7.0,17.0,51.0,53.0,49.0,1.29
19,2,Sun,18/08/2019,16:30,Chelsea,1.1,1,Leicester City,0.8,1,0,77.71,80.86,3.0,38.0,21.0,9.0,8.0,63.0,39.0,72.0,1.89,9.0,38.0,15.0,7.0,16.0,51.0,48.0,52.0,1.37
20,2,Mon,19/08/2019,20:00,Wolves,0.3,1,Manchester Utd,1.2,1,0,73.92,79.36,7.0,38.0,16.0,9.0,13.0,47.0,46.0,57.0,1.5,6.0,38.0,19.0,9.0,10.0,65.0,54.0,66.0,1.74
22,3,Fri,23/08/2019,20:00,Aston Villa,1.0,2,Everton,1.3,0,1,74.14,78.93,,,,,,,,,,8.0,38.0,15.0,9.0,14.0,54.0,46.0,54.0,1.42
23,3,Sat,24/08/2019,12:30,Norwich City,1.1,2,Chelsea,1.5,3,-1,80.79,76.43,,,,,,,,,,3.0,38.0,21.0,9.0,8.0,63.0,39.0,72.0,1.89
24,3,Sat,24/08/2019,15:00,Sheffield Utd,0.3,1,Leicester City,0.8,2,-1,74.57,77.43,,,,,,,,,,9.0,38.0,15.0,7.0,16.0,51.0,48.0,52.0,1.37
25,3,Sat,24/08/2019,15:00,Manchester Utd,2.5,1,Crystal Palace,1.1,2,-1,76.71,75.57,6.0,38.0,19.0,9.0,10.0,65.0,54.0,66.0,1.74,12.0,38.0,14.0,7.0,17.0,51.0,53.0,49.0,1.29
26,3,Sat,24/08/2019,15:00,Watford,2.3,1,West Ham,3.5,3,-1,82.64,79.71,11.0,38.0,14.0,8.0,16.0,52.0,59.0,50.0,1.32,10.0,38.0,15.0,7.0,16.0,52.0,55.0,52.0,1.37
27,3,Sat,24/08/2019,15:00,Brighton,0.8,0,Southampton,1.7,2,-1,75.79,85.5,17.0,38.0,9.0,9.0,20.0,35.0,60.0,36.0,0.95,16.0,38.0,9.0,12.0,17.0,45.0,65.0,39.0,1.03
28,3,Sat,24/08/2019,17:30,Liverpool,2.5,3,Arsenal,1.0,1,1,77.29,75.64,2.0,38.0,30.0,7.0,1.0,89.0,22.0,97.0,2.55,5.0,38.0,21.0,7.0,10.0,73.0,51.0,70.0,1.84
29,3,Sun,25/08/2019,14:00,Bournemouth,2.2,1,Manchester City,3.0,3,-1,79.5,76.64,14.0,38.0,13.0,6.0,19.0,56.0,70.0,45.0,1.18,1.0,38.0,32.0,2.0,4.0,95.0,23.0,98.0,2.58
30,3,Sun,25/08/2019,16:30,Wolves,1.5,1,Burnley,1.6,1,0,75.5,80.29,7.0,38.0,16.0,9.0,13.0,47.0,46.0,57.0,1.5,15.0,38.0,11.0,7.0,20.0,45.0,68.0,40.0,1.05
31,3,Sun,25/08/2019,16:30,Tottenham,1.1,0,Newcastle Utd,0.8,1,-1,76.86,73.43,4.0,38.0,23.0,2.0,13.0,67.0,39.0,71.0,1.87,13.0,38.0,12.0,9.0,17.0,42.0,48.0,45.0,1.18
33,4,Sat,31/08/2019,12:30,Southampton,0.9,1,Manchester Utd,1.5,1,0,79.71,75.93,16.0,38.0,9.0,12.0,17.0,45.0,65.0,39.0,1.03,6.0,38.0,19.0,9.0,10.0,65.0,54.0,66.0,1.74
34,4,Sat,31/08/2019,15:00,West Ham,2.0,2,Norwich City,1.4,0,1,78.64,74.07,10.0,38.0,15.0,7.0,16.0,52.0,55.0,52.0,1.37,,,,,,,,,
35,4,Sat,31/08/2019,15:00,Crystal Palace,1.4,1,Aston Villa,0.4,0,1,76.36,76.29,12.0,38.0,14.0,7.0,17.0,51.0,53.0,49.0,1.29,,,,,,,,,
36,4,Sat,31/08/2019,15:00,Leicester City,2.0,3,Bournemouth,0.6,1,1,84.64,76.64,9.0,38.0,15.0,7.0,16.0,51.0,48.0,52.0,1.37,14.0,38.0,13.0,6.0,19.0,56.0,70.0,45.0,1.18
37,4,Sat,31/08/2019,15:00,Chelsea,2.0,2,Sheffield Utd,1.1,2,0,76.17,82.64,3.0,38.0,21.0,9.0,8.0,63.0,39.0,72.0,1.89,,,,,,,,,
