id,Game ID,Wk,Day,Date,Time,Home,xG Home,G Home,Away,xG Away,G Away,League,Season,Score,Match Link,home_elo,away_elo,B365H,B365D,B365A,xScore,xScoreElo,Home Avg Players Score,Away Avg Players Score,Home Star Player Count,Away Star Player Count,Players Found %,xPower,xSuperPower,importance1,importance2,proj_score1,proj_score2,spi1,spi2,prob1,prob2,probtie,Home Points,Away Points,xG Home Diff,xG Away Diff,Home Avg Points,Away Avg Points,Home Avg Goals For,Away Avg Goals For,Home Avg Goals Against,Away Avg Goals Against,Home Matches Played,Away Matches Played,Home Points/Match,Away Points/Match,Home Form Points,Away Form Points,Home Form Goals For,Away Form Goals For,Home Form Goals Against,Away Form Goals Against,Home Head-to-Head Points,Away Head-to-Head Points,Home Head-to-Head Goals For,Away Head-to-Head Goals For,Home Head-to-Head Goals Against,Away Head-to-Head Goals Against,xG Home Avg Diff,xG Home Form Diff,xG Away Avg Diff,xG Away Form Diff
5703,7254739092,1.0,Sat,2019-08-10,20:00,Dijon,2.1,1,Saint-Étienne,1.0,2,Ligue-1,2019-2020,-1,https://fbref.com/en/matches/39bc30d4/Dijon-Saint-Etienne-August-10-2019-Ligue-1,1501.95,1660.83,2.37,3.2,3.1,1,-1,69.57,75.71,0,0,0.86,0,0,33.1,31.9,1.25,1.38,52.91,64.31,0.3347,0.3932,0.2721,0,3,-1.1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5704,4477766288,1.0,Sat,2019-08-10,20:00,Angers,1.6,3,Bordeaux,1.0,1,Ligue-1,2019-2020,1,https://fbref.com/en/matches/bfb2e34e/Angers-Bordeaux-August-10-2019-Ligue-1,1560.62,1558.48,4.0,3.2,2.05,-1,0,73.0,71.79,0,0,0.82,0,0,22.6,26.0,1.46,0.95,60.38,57.06,0.4831,0.2416,0.2753,3,0,1.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5705,5674396573,1.0,Sat,2019-08-10,20:00,Brest,2.2,1,Toulouse,1.5,1,Ligue-1,2019-2020,0,https://fbref.com/en/matches/f7af8742/Brest-Toulouse-August-10-2019-Ligue-1,1512.41,1496.64,2.25,3.1,3.5,1,1,70.0,72.07,0,0,0.82,0,0,33.7,28.4,1.48,1.18,53.43,55.79,0.4344,0.2981,0.2675,1,1,-1.2,-0.5,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5706,2071976842,1.0,Sat,2019-08-10,20:00,Nice,1.8,2,Amiens,0.8,1,Ligue-1,2019-2020,1,https://fbref.com/en/matches/fe79e1f7/Nice-Amiens-August-10-2019-Ligue-1,1601.65,1507.68,2.2,3.0,3.8,1,1,72.0,72.29,0,0,0.93,0,0,21.5,30.9,1.36,0.82,60.04,54.99,0.488,0.2215,0.2905,3,0,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,1923480822,1.0,Sun,2019-08-11,14:00,Newcastle Utd,0.4,0,Arsenal,1.1,1,Premier-League,2019-2020,-1,https://fbref.com/en/matches/1405a610/Newcastle-United-Arsenal-August-11-2019-Premier-League,1719.77,1871.06,2.2,3.2,3.4,1,-1,75.62,79.83,0,1,0.85,0,-1,24.2,47.9,1.33,1.65,70.33,79.72,0.3059,0.4471,0.2471,0,3,-0.4,-0.1,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,2495319188,1.0,Sun,2019-08-11,14:00,Leicester City,0.7,0,Wolves,0.7,0,Premier-League,2019-2020,0,https://fbref.com/en/matches/bf4afd61/Leicester-City-Wolverhampton-Wanderers-August-11-2019-Premier-League,1742.85,1724.3,4.5,3.75,1.72,-1,1,77.46,77.0,0,0,0.88,0,0,25.8,22.7,1.48,1.04,75.28,74.05,0.4683,0.2637,0.268,1,1,-0.7,-0.7,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5707,8879448534,1.0,Sun,2019-08-11,15:00,Lille,1.3,2,Nantes,0.6,1,Ligue-1,2019-2020,1,https://fbref.com/en/matches/aa2721a9/Lille-Nantes-August-11-2019-Ligue-1,1678.22,1574.79,1.95,3.3,4.2,1,1,73.64,77.24,0,1,0.85,0,-1,44.2,31.2,1.65,0.96,68.63,62.86,0.5285,0.216,0.2556,3,0,0.7,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,2382975988,1.0,Sun,2019-08-11,16:30,Manchester Utd,2.2,4,Chelsea,1.0,0,Premier-League,2019-2020,1,https://fbref.com/en/matches/d0583d0d/Manchester-United-Chelsea-August-11-2019-Premier-League,1842.41,1887.18,2.1,3.3,3.5,1,-1,84.48,82.41,2,2,0.96,0,0,53.5,61.0,1.48,1.52,79.99,85.88,0.3664,0.3843,0.2494,3,0,1.8,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5708,8920757390,1.0,Sun,2019-08-11,17:00,Strasbourg,1.7,1,Metz,0.3,1,Ligue-1,2019-2020,0,https://fbref.com/en/matches/1bf2a0be/Strasbourg-Metz-August-11-2019-Ligue-1,1560.94,1527.17,2.05,3.2,4.0,1,1,73.29,70.93,0,0,1.0,0,0,23.4,28.0,1.62,1.07,58.53,53.91,0.4959,0.2464,0.2577,1,1,-0.7,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5709,3934450502,1.0,Sun,2019-08-11,21:00,Paris S-G,3.5,3,Nîmes,0.3,0,Ligue-1,2019-2020,1,https://fbref.com/en/matches/df55c5ac/Paris-Saint-Germain-Nimes-August-11-2019-Ligue-1,1834.34,1575.77,1.1,10.0,23.0,1,1,85.18,70.21,5,0,0.93,1,1,74.9,23.7,3.17,0.53,88.01,58.26,0.8743,0.0342,0.0915,3,0,-0.5,-0.3,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
